ts,version,np,total_time_s
2025-05-06 16:08:39,V1 Serial,1,1.158
2025-05-06 16:08:48,V2 2.1-broadcast-all,1,1.9337
2025-05-06 16:08:58,V2 2.1-broadcast-all,2,2.37541
2025-05-06 16:09:07,V2 2.1-broadcast-all,4,2.17693
2025-05-06 16:09:14,V2 2.2-scatter-halo,1,1.12291
2025-05-06 16:09:23,V2 2.2-scatter-halo,2,1.32632
2025-05-06 16:09:32,V2 2.2-scatter-halo,4,0.712136
2025-05-06 16:09:44,V3 CUDA,1,0.200526
2025-05-06 16:09:57,V4 MPI+CUDA,1,0.22918799999999998
2025-05-06 16:09:59,V4 MPI+CUDA,2,0.180931
2025-05-06 16:10:00,V4 MPI+CUDA,4,0.25016700000000003
2025-05-06 14:21:55,V1 Serial,1,0.823
2025-05-06 14:21:59,V2 2.1-broadcast-all,1,0.920297
2025-05-06 14:22:03,V2 2.1-broadcast-all,2,0.834244
2025-05-06 14:22:07,V2 2.1-broadcast-all,4,0.8376509999999999
2025-05-06 14:22:11,V2 2.2-scatter-halo,1,0.846054
2025-05-06 14:22:15,V2 2.2-scatter-halo,2,0.5356380000000001
2025-05-06 14:22:19,V2 2.2-scatter-halo,4,0.294682
2025-05-06 14:22:24,V3 CUDA,1,0.48778
2025-05-06 14:22:33,V4 MPI+CUDA,1,0.459578
2025-05-06 14:22:35,V4 MPI+CUDA,2,0.42338299999999995
2025-05-06 14:22:37,V4 MPI+CUDA,4,0.444841
2025-05-09 10:53:22,V1 Serial,1,0.638
2025-05-09 10:53:24,V2 2.1-broadcast-all,1,0.715463
2025-05-09 10:53:26,V2 2.1-broadcast-all,2,0.753288
2025-05-09 10:53:29,V2 2.1-broadcast-all,4,0.808879
2025-05-09 10:53:32,V2 2.2-scatter-halo,1,0.5299729999999999
2025-05-09 10:53:34,V2 2.2-scatter-halo,2,0.32302499999999995
2025-05-09 10:53:36,V2 2.2-scatter-halo,4,0.26272
2025-05-08 18:51:03,V1 Serial,1,1.006
2025-05-08 18:51:07,V2 2.1-broadcast-all,1,0.977352
2025-05-08 18:51:11,V2 2.1-broadcast-all,2,0.983285
2025-05-08 18:51:15,V2 2.1-broadcast-all,4,1.0377100000000001
2025-05-08 18:51:19,V2 2.2-scatter-halo,1,0.983345
2025-05-08 18:51:23,V2 2.2-scatter-halo,2,0.614023
