relpath,sha1,size,mtime,mime
conv_test,c66a3c03a317cafe05aa884d4248876dc91dc956,1011320,2025-04-10 13:05:12.892448,application/x-pie-executable
DISCUSSION.md,c7f2b9e4aab0ec6482e659bc4eef1a85045c7d54,16394,2025-05-01 13:34:27.524254,text/plain
AI.md,b3dcf40fbee06b93e1b2c8e8b993455a1eb23b8f,15163,2025-05-01 13:34:25.758421,text/plain
RESEARCH.md,48d1ae7431c41d201d7e53b39ee3e08af576b35f,34317,2025-05-01 13:23:08.803588,text/plain
Makefile.original_v4_v5,5bf51fbdc1689763f4a776c8585f6e27da8bbf63,667,2025-04-22 01:31:04.841472,text/x-makefile
README.md,4443f1ab33136994968f5d2636fe5e9849c7775f,20510,2025-05-01 13:35:15.605903,text/plain
PROBLEMS.txt,9e7cf7a0d58920cf1456bae2e8a847d108319630,22735,2025-05-01 13:52:20.144563,text/plain
docs/1_M4jjkOPxvOYNk8f1c7rOcQ.png,820e14c94d700d35387b9e26f119c511b7028437,220083,2025-05-01 13:35:15.605903,image/png
docs/AlexNet_MPI_CUDA_Design.md,aae900bdc8f76c5a3f5e7a3c87d00831afd1dfe0,2457,2025-04-10 12:52:50.318693,text/plain
v1_serial/Makefile,a98c6d9bda1b00f4242f6d2427beed9b7035a0b1,771,2025-04-22 02:10:11.254236,text/x-makefile
v1_serial/template,f5ba440e2c7d580f53918a0e567564d765e51a93,35536,2025-05-09 11:58:10.576957,application/x-pie-executable
v4_mpi_cuda/.clang-tidy,4d2f618381c16bd21e1aa714b7d014976786c48d,711,2025-04-29 19:59:36.957490,text/plain
v4_mpi_cuda/test_v4.sh,283e7629befd6df131c27604f6de5fa0e4c6be96,5827,2025-05-05 11:29:46.999119,text/x-shellscript
v4_mpi_cuda/Makefile,5186fd684ba78a674e2490906660febd7df6bbb5,2560,2025-05-09 11:58:06.713176,text/x-makefile
v4_mpi_cuda/template,8e1976d2540cd81b0d44ad933d5455c278139d7b,179480,2025-05-09 11:58:32.496049,application/x-pie-executable
old_logs/make_v2_2.2_scatter_halo_np2.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:48:38.921732,text/plain
old_logs/make_v2_2.1_broadcast_all_np2_20250506_142151.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v4_np2_20250506_160835.log,6fd55e17ad7fc5da2c6951e1dd2c5958424a7f19,195,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.1_broadcast_all_np1_20250506_142151.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.1_broadcast_all_np1_20250506_160835.log,c5aac24f20c810a8bb546d11c1853073a1f8fa35,98,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np1.log,63c318c4a6f6522f58491efbbf115a776b340169,99,2025-05-09 10:48:36.375899,text/plain
old_logs/final_project_v4_np1_20250506_142151.log,35430a65f9381b071d7aad83d21870743c6b91eb,196,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np1_20250506_142151.log,8874c6952b8cf8a20d0b3388501ddfb0fa76f086,99,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v3_20250506_160835.log,a08cf38fc1f6bf55e9bbc2df95c3be87b9d2fbd1,367,2025-05-09 10:47:28.272221,text/plain
old_logs/make_v2_2.1_broadcast_all_np2.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:48:23.305051,text/plain
old_logs/make_v2_2.1_broadcast_all_np4_20250506_160835.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:47:28.262221,text/plain
old_logs/success_summary.png,fa257eb67deed5efa5fea117bb127d030bb27214,51870,2025-05-09 10:47:28.272221,image/png
old_logs/v1.log,c84bfb518446ca381d035c4fb359c337a043d689,895,2025-05-09 10:47:28.272221,text/plain
old_logs/make_v2_2.2_scatter_halo_np4_20250506_142151.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:47:28.262221,text/plain
old_logs/final_project_v2_2.2_scatter_halo_np4_20250506_160835.log,12424fcd73f9b8afccd36b8b189ffc8f62ad2175,215,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v4_20250506_142151.log,363ee91751f21600055706a266effce475f80b71,1978,2025-05-09 10:47:28.272221,text/plain
old_logs/final_project_v4_np2_20250506_142151.log,a72307049d0e168a79d3786dc3cb82e36fc1df02,195,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.1_broadcast_all_np2_20250506_160835.log,23b3a589b16d86421368bc515f759192cd211667,534,2025-05-09 10:47:28.262221,text/plain
old_logs/make_v2_2.2_scatter_halo_np4.log,d5d09db9ed732a07939d61d4d9d083d408d69e1b,494,2025-05-09 10:48:42.117566,text/plain
old_logs/final_project_v3_np1.log,3062bed96acd082f185e1312b49a23d340a35db8,92,2025-05-09 10:48:48.834232,text/plain
old_logs/final_project_v1_np1.log,9faedf5790cb1aff87b74937d0be196a7766524e,893,2025-05-09 10:48:16.480051,text/plain
