version,np,n,mean_s,sd_s,ci95_s
v4_np2_20250506_142151,2,1,0.42338299999999995,,
v3_np1_20250506_142151,1,1,0.48778,,
v4_np4_20250506_142151,4,1,0.444841,,
v3_np1_20250506_160835,1,1,0.200526,,
v2_2.1_broadcast_all_np1.log,1,11,0.8929459090909092,0.3155893611478227,0.18650139432367024
v4_np1,1,8,0.578490375,0.4482608774669174,0.31062894007353953
v4_mpi_cuda_multi_np2,2,2,0.8963209999999999,0.001327946535068369,0.0018404400000000451
v2_2.1_broadcast_all_np2_20250506_160835.log,2,1,2.37541,,
v1_np1_20250506_160835,1,1,1.158,,
V2 2.1-broadcast-all,4,13,1.0786836923076923,0.4088977682669969,0.22227935884788624
v2_2.2_scatter_halo_np1_20250506_160835.log,1,1,1.12291,,
v4_np4_20250506_160835,4,1,0.25016700000000003,,
V2 2.2-scatter-halo,1,14,0.8140691428571428,0.235926337297457,0.12358577317569705
V4 MPI+CUDA,1,11,0.44858563636363635,0.3846296377946641,0.22730159054161767
v1_np1,1,12,0.7959999999999999,0.16083023234567445,0.0909982703798331
v2_2.2_scatter_halo_np2_20250506_142151.log,2,1,0.5356380000000001,,
v2_2.2_scatter_halo_np4.log,4,10,0.30147260000000003,0.08430680190194224,0.05225389718593158
V1 Serial,1,15,0.8683333333333333,0.1748414247526135,0.08848196903575577
V2 2.1-broadcast-all,2,14,0.9638805714285714,0.4235773110885815,0.22188336448662083
v2_2.2_scatter_halo_np1_20250506_142151.log,1,1,0.846054,,
V3 CUDA,1,13,0.40316323076923083,0.15999695884565734,0.08697533757778352
v2_2.2_scatter_halo_np1.log,1,11,0.7405621818181818,0.19426707517735384,0.11480450500607035
V2 2.2-scatter-halo,2,14,0.5764005000000001,0.25945805389777954,0.13591244014944656
V4 MPI+CUDA,2,13,0.4651116923076922,0.2615650990892403,0.14218840755466366
v2_2.2_scatter_halo_np2_20250506_160835.log,2,1,1.32632,,
v2_2.2_scatter_halo_np4_20250506_160835.log,4,1,0.712136,,
v2_2.1_broadcast_all_np2.log,2,11,0.844574,0.12918023134752465,0.07634063828305909
v2_2.1_broadcast_all_np4.log,4,9,0.9673341111111112,0.3123798561865203,0.2040881727085266
v1_np1_20250506_142151,1,1,0.823,,
v4_np2_20250506_160835,2,1,0.180931,,
v2_2.1_broadcast_all_np4_20250506_160835.log,4,1,2.17693,,
v3_np1,1,9,0.45497722222222226,0.14753909887871905,0.09639221126742976
v2_2.1_broadcast_all_np4_20250506_142151.log,4,1,0.8376509999999999,,
v4_np4,4,7,0.4240901428571428,0.09941578788842441,0.07364824632096907
v4_np2,2,8,0.45278149999999995,0.20918303777109382,0.1449564496267993
v2_2.1_broadcast_all_np1_20250506_160835.log,1,1,1.9337,,
v2_2.2_scatter_halo_np4_20250506_142151.log,4,1,0.294682,,
V2 2.2-scatter-halo,4,13,0.3450826923076923,0.13962336329830607,0.0759001248788129
V4 MPI+CUDA,4,10,0.3744351,0.09000285602314084,0.05578434810685255
v2_2.1_broadcast_all_np2_20250506_142151.log,2,1,0.834244,,
v2_2.2_scatter_halo_np2.log,2,11,0.46801281818181817,0.1314798295563378,0.07769961398099773
v4_np1_20250506_142151,1,1,0.459578,,
v2_2.1_broadcast_all_np1_20250506_142151.log,1,1,0.920297,,
v4_np1_20250506_160835,1,1,0.22918799999999998,,
V2 2.1-broadcast-all,1,14,0.9670987142857143,0.38801726078446724,0.20325587100139897
