ts,version,np,total_time_s
2025-05-09 11:58:11,V1 Serial,1,0.601
2025-05-09 11:26:00,V2 2.1-broadcast-all,1,0.702338
2025-05-09 11:26:03,V2 2.1-broadcast-all,2,0.7343339999999999
2025-05-09 10:53:10,V2 2.1-broadcast-all,4,0.79335
2025-05-09 11:26:06,V2 2.2-scatter-halo,1,0.507508
2025-05-09 11:58:21,V2 2.2-scatter-halo,2,0.31567399999999995
2025-05-09 11:58:23,V2 2.2-scatter-halo,4,0.18623599999999998
2025-05-08 18:51:32,V3 CUDA,1,0.194456
2025-05-08 18:51:41,V4 MPI+CUDA,1,0.182901
2025-05-06 16:09:59,V4 MPI+CUDA,2,0.180931
2025-05-06 16:10:00,V4 MPI+CUDA,4,0.25016700000000003
