path,size_bytes,mime,ext
conv_test,1011320,application/x-pie-executable,<none>
DISCUSSION.md,16394,text/plain,.md
AI.md,15163,text/plain,.md
RESEARCH.md,34317,text/plain,.md
Makefile.original_v4_v5,667,text/x-makefile,.original_v4_v5
README.md,20510,text/plain,.md
PROBLEMS.txt,22735,text/plain,.txt
docs/1_M4jjkOPxvOYNk8f1c7rOcQ.png,220083,image/png,.png
docs/AlexNet_MPI_CUDA_Design.md,2457,text/plain,.md
v1_serial/Makefile,771,text/x-makefile,<none>
v1_serial/template,35536,application/x-pie-executable,<none>
v4_mpi_cuda/.clang-tidy,711,text/plain,<none>
v4_mpi_cuda/test_v4.sh,5827,text/x-shellscript,.sh
v4_mpi_cuda/Makefile,2560,text/x-makefile,<none>
v4_mpi_cuda/template,179480,application/x-pie-executable,<none>
old_logs/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np2_20250506_142151.log,534,text/plain,.log
old_logs/final_project_v4_np2_20250506_160835.log,195,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np1_20250506_142151.log,534,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np1_20250506_160835.log,98,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
old_logs/final_project_v4_np1_20250506_142151.log,196,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np1_20250506_142151.log,99,text/plain,.log
old_logs/make_v3_20250506_160835.log,367,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np4_20250506_160835.log,534,text/plain,.log
old_logs/success_summary.png,51870,image/png,.png
old_logs/v1.log,895,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np4_20250506_142151.log,494,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np4_20250506_160835.log,215,text/plain,.log
old_logs/make_v4_20250506_142151.log,1978,text/plain,.log
old_logs/final_project_v4_np2_20250506_142151.log,195,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np2_20250506_160835.log,534,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
old_logs/final_project_v3_np1.log,92,text/plain,.log
old_logs/final_project_v1_np1.log,893,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np2_20250506_142151.log,99,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
old_logs/make_v3_20250506_142151.log,367,text/plain,.log
old_logs/performance_np1_comparison.png,27164,image/png,.png
old_logs/make_v2_2.1_broadcast_all_np4_20250506_142151.log,534,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np1_20250506_160835.log,494,text/plain,.log
old_logs/run_summary_20250506_160835.csv,1483,text/csv,.csv
old_logs/make_v2_2.2_scatter_halo_np4_20250506_160835.log,494,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np1_20250506_160835.log,99,text/plain,.log
old_logs/correctness_sample_comparison.png,58836,image/png,.png
old_logs/make_v1_20250506_160835.log,353,text/plain,.log
old_logs/make_v4.log,5253,text/plain,.log
old_logs/final_project_v1_np1_20250506_142151.log,891,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np2_20250506_142151.log,215,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np2_20250506_160835.log,99,text/plain,.log
old_logs/summary_nixos_20250508_182322.csv,86,text/plain,.csv
old_logs/final_project_v3_np1_20250506_142151.log,161,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np1_20250506_160835.log,534,text/plain,.log
old_logs/final_project_v4_np4_20250506_142151.log,195,text/plain,.log
old_logs/final_project_v4_np4_20250506_160835.log,195,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np4_20250506_142151.log,215,text/plain,.log
old_logs/make_v1_20250506_142151.log,353,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np4_20250506_142151.log,99,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
old_logs/make_v3.log,1115,text/plain,.log
old_logs/performance_v2.png,65916,image/png,.png
old_logs/final_project_v4_np4.log,921,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np1_20250506_142151.log,494,text/plain,.log
old_logs/performance_v4.png,60716,image/png,.png
old_logs/generate_graphs.py,7640,text/x-script.python,.py
old_logs/final_project_v4_np2.log,758,text/plain,.log
old_logs/run_summary_20250506_142151.csv,1481,text/csv,.csv
old_logs/final_project_v3_np1_20250506_160835.log,162,text/plain,.log
old_logs/make_v1.log,353,text/plain,.log
old_logs/make_v4_20250506_160835.log,1978,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
old_logs/final_project_v4_np1.log,481,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
old_logs/final_project_v1_np1_20250506_160835.log,894,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np4_20250506_160835.log,99,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
old_logs/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
old_logs/final_project_v2_2.1_broadcast_all_np1_20250506_142151.log,99,text/plain,.log
old_logs/final_project_v4_np1_20250506_160835.log,196,text/plain,.log
old_logs/final_project_v2_2.2_scatter_halo_np2_20250506_160835.log,215,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np2_20250506_160835.log,494,text/plain,.log
old_logs/make_v2_2.2_scatter_halo_np2_20250506_142151.log,494,text/plain,.log
v3_cuda_only/Makefile,2189,text/x-makefile,<none>
v3_cuda_only/template,56480,application/x-pie-executable,<none>
v5_cuda_aware_mpi/Makefile,0,inode/x-empty,<none>
logs/summary_20250509_105320_DESKTOP-B5PMJB5.csv,4340,text/csv,.csv
logs/summary_20250508_185059_nixos.csv,3865,text/csv,.csv
logs/summary_multi_20250509_122238.csv,478,text/csv,.csv
logs/summary_20250509_112555_DESKTOP-B5PMJB5.csv,4303,text/csv,.csv
logs/summary_20250509_115507_nixos.csv,3865,text/csv,.csv
logs/summary_multi_20250509_123153.csv,485,text/csv,.csv
logs/summary_20250509_115808_DESKTOP-B5PMJB5.csv,4305,text/csv,.csv
logs/summary_20250508_183926_nixos.csv,3864,text/csv,.csv
logs/summary_20250509_114103_nixos.csv,3901,text/csv,.csv
logs/summary_fullsuite_20250509_124616.csv,3144,text/csv,.csv
logs/summary_20250509_115115_nixos.csv,3900,text/csv,.csv
logs/final_project_v4_np4.log,195,text/plain,.log
logs/final_project_v4_np2.log,195,text/plain,.log
logs/summary_fullsuite_20250509_124206.csv,972,text/csv,.csv
logs/summary_20250508_184638_nixos.csv,3867,text/csv,.csv
logs/final_project_v4_np1.log,196,text/plain,.log
logs/summary_20250508_185132_nixos.csv,3865,text/csv,.csv
logs/summary_20250509_105256_nixos.csv,3863,text/csv,.csv
v1_serial/include/layers.hpp,1337,text/x-c,.hpp
v1_serial/include/alexnet.hpp,1351,text/x-c,.hpp
v1_serial/src/layers_serial.cpp,7261,text/x-c,.cpp
v1_serial/src/main.o,7560,application/x-object,.o
v1_serial/src/main.cpp,2579,text/x-c,.cpp
v1_serial/src/layers_serial.o,9000,application/x-object,.o
v1_serial/src/alexnet_serial.cpp,7962,text/x-c,.cpp
v1_serial/src/alexnet_serial.o,21704,application/x-object,.o
v4_mpi_cuda/logs_v4_test/v4_np1.log,196,text/plain,.log
v4_mpi_cuda/logs_v4_test/v4_np2.log,195,text/plain,.log
v4_mpi_cuda/logs_v4_test/build.log,2266,text/plain,.log
v4_mpi_cuda/logs_v4_test/v4_np4.log,195,text/plain,.log
v4_mpi_cuda/include/layers.hpp,869,text/x-c,.hpp
v4_mpi_cuda/include/alexnet.hpp,1163,text/x-c,.hpp
v4_mpi_cuda/src/main_mpi_cuda.o,160520,application/x-object,.o
v4_mpi_cuda/src/layers_mpi_cuda.o,31992,application/x-object,.o
v4_mpi_cuda/src/main_mpi_cuda.cpp,7863,text/x-c,.cpp
v4_mpi_cuda/src/layers_mpi_cuda.cu,6254,text/x-c,.cu
v4_mpi_cuda/src/alexnet_mpi_cuda.o,44264,application/x-object,.o
v4_mpi_cuda/src/alexnet_mpi_cuda.cu,23014,text/x-c,.cu
v3_cuda_only/include/layers.hpp,745,text/x-c,.hpp
v3_cuda_only/include/alexnet.hpp,673,text/x-c,.hpp
v3_cuda_only/src/alexnet_cuda.cu,4098,text/x-c,.cu
v3_cuda_only/src/layers_cuda.cu,4254,text/x-c,.cu
v3_cuda_only/src/main_cuda.cpp,1401,text/x-c,.cpp
v3_cuda_only/src/layers_cuda.o,39336,application/x-object,.o
v3_cuda_only/src/alexnet_cuda.o,9576,application/x-object,.o
v3_cuda_only/src/main_cuda.o,7808,application/x-object,.o
v2_mpi_only/2.1_broadcast_all/Makefile,613,text/x-file,<none>
v2_mpi_only/2.1_broadcast_all/template,109192,application/x-pie-executable,<none>
v2_mpi_only/2.2_scatter_halo/Makefile,545,text/x-makefile,<none>
v2_mpi_only/2.2_scatter_halo/template,113960,application/x-pie-executable,<none>
v2_mpi_only/2.1_broadcast_all/include/layers.hpp,746,text/x-c,.hpp
v2_mpi_only/2.1_broadcast_all/include/alexnet.hpp,1350,text/x-c,.hpp
v2_mpi_only/2.1_broadcast_all/src/layers_mpi.o,4184,application/x-object,.o
v2_mpi_only/2.1_broadcast_all/src/main.o,150504,application/x-object,.o
v2_mpi_only/2.1_broadcast_all/src/alexnet_mpi.cpp,1857,text/x-c,.cpp
v2_mpi_only/2.1_broadcast_all/src/main.cpp,4948,text/x-c,.cpp
v2_mpi_only/2.1_broadcast_all/src/layers_mpi.cpp,3226,text/x-c,.cpp
v2_mpi_only/2.1_broadcast_all/src/alexnet_mpi.o,7760,application/x-object,.o
v2_mpi_only/2.2_scatter_halo/include/layers.hpp,746,text/x-c,.hpp
v2_mpi_only/2.2_scatter_halo/include/alexnet.hpp,1372,text/x-c,.hpp
v2_mpi_only/2.2_scatter_halo/src/layers_mpi.o,4184,application/x-object,.o
v2_mpi_only/2.2_scatter_halo/src/main.o,165304,application/x-object,.o
v2_mpi_only/2.2_scatter_halo/src/alexnet_mpi.cpp,1606,text/x-c,.cpp
v2_mpi_only/2.2_scatter_halo/src/main.cpp,16500,text/x-c,.cpp
v2_mpi_only/2.2_scatter_halo/src/layers_mpi.cpp,2973,text/x-c,.cpp
v2_mpi_only/2.2_scatter_halo/src/alexnet_mpi.o,7760,application/x-object,.o
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np2.log,758,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v4.log,5253,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v3.log,1115,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v1_np1.log,894,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np1.log,481,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np4.log,214,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v1.log,353,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v3_np1.log,92,text/plain,.log
logs/run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np4.log,921,text/plain,.log
logs/multirun_20250509_122238_nixos/main_orchestration.log,4514,text/plain,.log
logs/multirun_20250509_122238_nixos/mpi_cluster_hosts.txt,43,text/plain,.txt
logs/multirun_20250509_122238_nixos/make_v4_mpi_cuda_multi_arch.log,3211,text/plain,.log
logs/multirun_20250509_122238_nixos/run_v4_mpi_cuda_multi_np2.log,295,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np2.log,1053,text/plain,.log
logs/fullsuite_20250509_124206_nixos/main_orchestration.log,3291,text/plain,.log
logs/fullsuite_20250509_124206_nixos/mpi_cluster_hosts.txt,43,text/plain,.txt
logs/fullsuite_20250509_124206_nixos/run_v1_np1.log,895,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v1.log,798,text/plain,.log
logs/fullsuite_20250509_124206_nixos/run_v2_2.1_broadcast_all_np1.log,581,text/plain,.log
logs/fullsuite_20250509_124206_nixos/make_v2_2.1_broadcast_all_np1.log,1053,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250509_115115_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250509_115115_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250509_115115_nixos/run_v4_np2.log,934,application/octet-stream,.log
