SessionID,MachineID,GitCommit,EntryTimestamp,ProjectVariant,NumProcesses,MakeLogFile,BuildSucceeded,BuildMessage,RunLogFile,RunCommandSucceeded,RunEnvironmentWarning,RunMessage,ParseSucceeded,ParseMessage,OverallStatusSymbol,OverallStatusMessage,ExecutionTime_ms,OutputShape,OutputFirst5Values
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:22-04:00","V1 Serial",1,"run_20250509_105320_DESKTOP-B5PMJB5/make_v1.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v1_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",638,"13x13x256","0.0708294 0.0651534 0.0784065 0.0715112 0.062645"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:24-04:00","V2 2.1-broadcast-all",1,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np1.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",715.463,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:26-04:00","V2 2.1-broadcast-all",2,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np2.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",753.288,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:29-04:00","V2 2.1-broadcast-all",4,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np4.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",808.879,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:32-04:00","V2 2.2-scatter-halo",1,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np1.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np1.log",true,false,"Run OK",true,"Parse OK","✔","✔",529.973,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:34-04:00","V2 2.2-scatter-halo",2,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np2.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np2.log",true,false,"Run OK",true,"Parse OK","✔","✔",323.025,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:36-04:00","V2 2.2-scatter-halo",4,"run_20250509_105320_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np4.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np4.log",true,false,"Run OK",true,"Parse OK","✔","✔",262.72,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:39-04:00","V3 CUDA",1,"run_20250509_105320_DESKTOP-B5PMJB5/make_v3.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v3_np1.log",false,true,"Env/Config Warning",false,"Parse error (missing data)","⚠","⚠ (env issue)",,"13x13x256","–"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:45-04:00","V4 MPI+CUDA",1,"run_20250509_105320_DESKTOP-B5PMJB5/make_v4.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np1.log",false,true,"Env/Config Warning",false,"Parse error (missing shape/sample)","⚠","⚠ (env issue)",,"–","–"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:46-04:00","V4 MPI+CUDA",2,"run_20250509_105320_DESKTOP-B5PMJB5/make_v4.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np2.log",false,true,"Env/Config Warning",false,"Parse error (missing shape/sample)","⚠","⚠ (env issue)",,"~7x13x256 (split)","–"
"run_20250509_105320_DESKTOP-B5PMJB5","DESKTOP-B5PMJB5","dc3ed0e","2025-05-09T10:53:47-04:00","V4 MPI+CUDA",4,"run_20250509_105320_DESKTOP-B5PMJB5/make_v4.log",true,"Build OK","run_20250509_105320_DESKTOP-B5PMJB5/run_v4_np4.log",false,true,"Env/Config Warning",false,"Parse error (missing shape/sample)","⚠","⚠ (env issue)",,"~4x13x256 (split)","–"
