version,np,n,mean_s,sd_s,ci95_s
v2_2.2_scatter_halo_np2,2,10,0.4770358,0.13495426949880304,0.08364552282975991
V2 2.1-broadcast-all,4,13,1.0786836923076923,0.4088977682669969,0.22227935884788624
V2 2.2-scatter-halo,1,14,0.8140691428571428,0.235926337297457,0.12358577317569705
V4 MPI+CUDA,1,11,0.44858563636363635,0.3846296377946641,0.22730159054161767
V2 2.1-broadcast-all,1,14,0.9670987142857143,0.38801726078446724,0.20325587100139897
V2 2.2-scatter-halo,4,13,0.3450826923076923,0.13962336329830607,0.0759001248788129
V4 MPI+CUDA,4,10,0.3744351,0.09000285602314084,0.05578434810685255
v2_2.2_scatter_halo_np4,4,9,0.28769222222222224,0.07654887210922473,0.05001192977802682
v2_2.1_broadcast_all_np2,2,10,0.8243374000000001,0.1163462857920269,0.0721121750391237
v2_2.1_broadcast_all_np1,1,10,0.8654054999999999,0.31842220296652607,0.19736012611275877
V2 2.2-scatter-halo,2,14,0.5764005000000001,0.25945805389777954,0.13591244014944656
V4 MPI+CUDA,2,13,0.4651116923076922,0.2615650990892403,0.14218840755466366
v2_2.1_broadcast_all_np4,4,8,0.869909625,0.1178735404938427,0.08168219620955
v1_np1,1,11,0.8134545454545455,0.15630570279830716,0.09237076752714421
V1 Serial,1,15,0.8683333333333333,0.1748414247526135,0.08848196903575577
V2 2.1-broadcast-all,2,14,0.9638805714285714,0.4235773110885815,0.22188336448662083
v4_np2,2,7,0.43999228571428567,0.2225395915799511,0.16485963653220156
v4_np4,4,6,0.401394,0.08679420195381715,0.06944982575684942
v4_mpi_cuda_multi_np2,2,2,0.8963209999999999,0.001327946535068369,0.0018404400000000451
v4_np1,1,7,0.5349552857142857,0.4655512281015965,0.34488517619290815
v3_np1,1,9,0.45497722222222226,0.14753909887871905,0.09639221126742976
v2_2.2_scatter_halo_np1,1,10,0.7114263999999999,0.177644666850054,0.11010530523988407
V3 CUDA,1,13,0.40316323076923083,0.15999695884565734,0.08697533757778352
